Name,Contact,Address,Email,Category,Location
Swamy Electronics,+91 9963115944,Jagadgiri Gutta Hyderabad - 500037,NA," Air Coolers, Dishwasher, Electronics","17.5061,78.4195"
Master Refrigeration,+91 9848478261,Moghalpura Hyderabad - 500002,NA," Electronics, Home Appliances, Refrigerators","17.359,78.4766"
Digital Camera Gallery,+91 40 64643232,Dr. A S Rao Nagar Hyderabad - 500062,digitalcameragallery@gmail.com,NA,"17.4802,78.5522"
Digicam Electronics,+91 9247409820,Koti Hyderabad - 500095,digicomz@yahoo.com," Cameras, Electronics","17.3858,78.4795"
Chaya Photo Services,+91 8885577815,Picket Hyderabad - 500003,chaaya_foto@yahoo.co.in,NA,"17.4528,78.4986"
Camera Scan 4,+91 9848172907,Nallagutta Hyderabad - 500003,NA,NA,"17.4375,78.4873"
Mk Electronics,+91 9849220362,Chilakalguda Hyderabad - 500025,NA," Electronics, Home Appliances, Refrigerators","17.4302,78.5108"
"Galaxy Air Condition, Refrigeration & Electricals",+91 9885226643,Lakdi Ka Pool Hyderabad - 500004,galaxyacre26@gmail.com,NA,"17.3993,78.4627"
Magni Projections,+91 9848027662,East Marredpally Hyderabad - 500026,NA, Home Appliances,"17.4476,78.5137"
SV Audio & Visual Solutions,+91 9704733047,S P Road Hyderabad - 500003,NA," Electronics, Home Theater Systems, Musical Instruments","17.442949,78.500184"
Anand Projectors,+91 9912845810,Sitaphalmandi Hyderabad - 500061,senapathi.swaroop@gmail.com,NA,"17.4268,78.5193"
Expert Audio Visual,+91 9700064488,Bhoiguda Hyderabad - 500003,jadwedexpert@gmail.com, Event Organizers,"17.4273,78.4993"
T.T. Super Bazar,+91 9246204595,Mehdipatnam Hyderabad - 500028,ttsuperbazarhyd@gmail.com," Air Conditioners, Air Coolers, Dishwasher","17.3916,78.4401"
Avitronics,+91 9396240872,Secunderabad Hyderabad - 500003,avitronics@gmail.com,NA,"17.4171,78.4906"
Sundeep Electronics,+91 9396551616,RTC X Roads Hyderabad - 500020,NA," Air Conditioners, Air Coolers, Audio Video Systems","17.4026,78.4933"
Sri Balaji Electrical Repairs,+91 9059082153,Safilguda Hyderabad - 500047,NA," Air Coolers, Electronics, Home Appliances","17.4646,78.5402"
Sv Electricals,+91 9849482865,Moula Ali Hyderabad - 500040,NA," Air Conditioners, Air Coolers, Dishwasher","17.4603,78.5578"
Sparking Electrical Services,+91 8341650487,Hayath Nagar Hyderabad - 501505,sparkingelectricals@outlook.com," Air Conditioners, Air Coolers, Electronics","17.3271,78.5912"
Sri Akshaya Electrical & Pluming Works,+91 9963688834,Mallapur Hyderabad - 500076,NA," Air Conditioners, Electronics, Home Appliances","17.4421,78.5755"
TMC Electronics,+91 9866755695,Koti Hyderabad - 500095,electronics.co.in, Home Appliances,"17.394082,78.480089"
HD Rangwala,+91 9030229021,Tirumalgiri Hyderabad - 500015,hdrangwala@gmail.com,NA,"17.4751,78.5092"
New Sagri Electronics,+91 8099223080,Bala Nagar Hyderabad - 500037,NA," Home Appliances, Refrigerators, Televisions","17.465,78.451"
A To Z Electrical Winding Works,+91 9848773406,Charminar Hyderabad - 500002,NA, Electrical Contractors,"17.3616,78.4747"
Baba Electronics,+91 9441756305,Jubilee Hills Hyderabad - 500033,NA," AC Repairs &Services, Refrigerator Repair, Washing Machine Repair","17.4325,78.407"
BPl Service,+91 9849630014,Kachiguda Hyderabad - 500027,NA," Ladies Dresses, Refrigerator Repair, Speakers","17.3897,78.496"
Comfort Systems,+91 7801097033,Madhapur Hyderabad - 500081,NA," AC Repairs &Services, Home Appliances, Refrigerator Repair","17.4483,78.3915"
A1 Electrical Works,+91 9966174020,Yousufguda Hyderabad - 500045,NA," Air Conditioners, Home Appliances, Refrigerators","17.4327,78.4302"
A S Electricals,+91 9154850908,Gajularamaram Hyderabad - 500055,NA," Home Appliances, Televisions","17.5337,78.4013"
Natya Electronics Service Center,+91 9347258995,Afzal Gunj Hyderabad - 500012,NA," AC Repairs &Services, Refrigerator Repair, Washing Machine Repair","17.3739,78.4702"
Samed Electrician,+91 9502934724,Malakpet Hyderabad - 500036,NA," Electricians, Refrigerator Repair","17.3731,78.49"
Adith Electronics,+91 9246150400,Ameerpet Hyderabad - 500016,adithvrc@yahoo.co.in," Air Conditioners, Air Coolers, Home Appliances",15594
Usha Electric Corporation,+91 9849312234,Ranigunj Hyderabad - 500003,ushaelec@gmail.com," AC Repairs &Services, Electronics, Refrigerator Repair","17.4326,78.4908"
Ragavendra Electronics,+91 9885063938,RTC X Roads Hyderabad - 500020,NA," Air Conditioners, Air Coolers, Computers","17.4059,78.4974"
Sri Satya Electrical & Refrigeration Works,+91 9666323250,Chanda Nagar Hyderabad - 500050,satyakadali1435@gmail.com," Air Conditioners, Electronics","17.4936,78.3253"
Tayyaba Refrigeration & Air Conditioners Works,+91 9441040646,Mehdipatnam Hyderabad - 500028,NA, Refrigerator Repair,"17.3916,77.4401"
